
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

259 1 0.60000000 18.39577005  2.65536665 19.75501440
260 1 0.60000000 18.39577005  2.65536665 27.27901440
261 1 0.60000000 16.09627005  6.63821748 4.70701440
262 1 0.60000000 16.09627005  6.63821748 12.23101440
263 1 0.60000000 16.09627005  6.63821748 19.75501440
264 1 0.60000000 16.09627005  6.63821748 27.27901440
265 1 0.60000000 13.79677005  10.62106831 4.70701440
266 1 0.60000000 13.79677005  10.62106831 12.23101440
267 1 0.60000000 13.79677005  10.62106831 19.75501440
268 1 0.60000000 13.79677005  10.62106831 27.27901440
269 1 0.60000000 11.49727005  14.60391915 4.70701440
270 1 0.60000000 11.49727005  14.60391915 12.23101440
271 1 0.60000000 11.49727005  14.60391915 19.75501440
272 1 0.60000000 11.49727005  14.60391915 27.27901440
273 1 0.60000000 9.19777005  18.58676998 4.70701440
274 1 0.60000000 9.19777005  18.58676998 12.23101440
275 1 0.60000000 9.19777005  18.58676998 19.75501440
276 1 0.60000000 9.19777005  18.58676998 27.27901440
277 1 0.60000000 6.89827005  22.56962081 4.70701440
278 1 0.60000000 6.89827005  22.56962081 12.23101440
279 1 0.60000000 6.89827005  22.56962081 19.75501440
280 1 0.60000000 6.89827005  22.56962081 27.27901440
281 1 0.60000000 4.59877005  26.55247164 4.70701440
282 1 0.60000000 4.59877005  26.55247164 12.23101440
283 1 0.60000000 4.59877005  26.55247164 19.75501440
284 1 0.60000000 4.59877005  26.55247164 27.27901440
285 1 0.60000000 2.29927005  30.53532247 4.70701440
286 1 0.60000000 2.29927005  30.53532247 12.23101440
287 1 0.60000000 2.29927005  30.53532247 19.75501440
288 1 0.60000000 2.29927005  30.53532247 27.27901440
289 1 0.60000000 -0.00022995  34.51817330 4.70701440
290 1 0.60000000 -0.00022995  34.51817330 12.23101440
291 1 0.60000000 -0.00022995  34.51817330 19.75501440
292 1 0.60000000 -0.00022995  34.51817330 27.27901440
293 1 0.60000000 -2.29972995  38.50102414 4.70701440
294 1 0.60000000 -2.29972995  38.50102414 12.23101440
295 1 0.60000000 -2.29972995  38.50102414 19.75501440
296 1 0.60000000 -2.29972995  38.50102414 27.27901440
297 1 0.60000000 -4.59922996  42.48387497 4.70701440
298 1 0.60000000 -4.59922996  42.48387497 12.23101440
299 1 0.60000000 -4.59922996  42.48387497 19.75501440
300 1 0.60000000 -4.59922996  42.48387497 27.27901440
301 1 0.60000000 -6.89872996  46.46672580 4.70701440
302 1 0.60000000 -6.89872996  46.46672580 12.23101440
303 1 0.60000000 -6.89872996  46.46672580 19.75501440
304 1 0.60000000 -6.89872996  46.46672580 27.27901440
305 1 0.60000000 -9.19822996  50.44957663 4.70701440
306 1 0.60000000 -9.19822996  50.44957663 12.23101440
307 1 0.60000000 -9.19822996  50.44957663 19.75501440
308 1 0.60000000 -9.19822996  50.44957663 27.27901440
309 1 0.60000000 -11.49772996  54.43242746 4.70701440
310 1 0.60000000 -11.49772996  54.43242746 12.23101440
311 1 0.60000000 -11.49772996  54.43242746 19.75501440
312 1 0.60000000 -11.49772996  54.43242746 27.27901440
313 1 0.60000000 -13.79722996  58.41527829 4.70701440
314 1 0.60000000 -13.79722996  58.41527829 12.23101440
315 1 0.60000000 -13.79722996  58.41527829 19.75501440
316 1 0.60000000 -13.79722996  58.41527829 27.27901440
317 1 0.60000000 -16.09672996  62.39812913 4.70701440
318 1 0.60000000 -16.09672996  62.39812913 12.23101440
319 1 0.60000000 -16.09672996  62.39812913 19.75501440
320 1 0.60000000 -16.09672996  62.39812913 27.27901440
321 1 0.60000000 22.99477005  2.65536665 4.70701440
322 1 0.60000000 22.99477005  2.65536665 12.23101440
323 1 0.60000000 22.99477005  2.65536665 19.75501440
324 1 0.60000000 22.99477005  2.65536665 27.27901440
325 1 0.60000000 20.69527005  6.63821748 4.70701440
326 1 0.60000000 20.69527005  6.63821748 12.23101440
327 1 0.60000000 20.69527005  6.63821748 19.75501440
328 1 0.60000000 20.69527005  6.63821748 27.27901440
329 1 0.60000000 18.39577005  10.62106831 4.70701440
330 1 0.60000000 18.39577005  10.62106831 12.23101440
331 1 0.60000000 18.39577005  10.62106831 19.75501440
332 1 0.60000000 18.39577005  10.62106831 27.27901440
333 1 0.60000000 16.09627005  14.60391915 4.70701440
334 1 0.60000000 16.09627005  14.60391915 12.23101440
335 1 0.60000000 16.09627005  14.60391915 19.75501440
336 1 0.60000000 16.09627005  14.60391915 27.27901440
337 1 0.60000000 13.79677005  18.58676998 4.70701440
338 1 0.60000000 13.79677005  18.58676998 12.23101440
339 1 0.60000000 13.79677005  18.58676998 19.75501440
340 1 0.60000000 13.79677005  18.58676998 27.27901440
341 1 0.60000000 11.49727005  22.56962081 4.70701440
342 1 0.60000000 11.49727005  22.56962081 12.23101440
